"FIDs","BAN_JING","YDH","YDMZGUID","17_sl_HH_F02DAR","p2hv"
511,15,"43312723442669","cc242a05-026a-49a6-8456-862f0a7e836d",6848,3110
512,15,"43312712421561","e3ee781a-1b5a-49e8-a8d1-495313a6798e",7468,4062
513,15,"43312712433562","2f04a35f-c1ab-4508-9b7c-c3e9f92e1b66",9399,3883
514,15,"43312712442670","4f2de457-3b2b-4405-8486-3f4a708689a2",5850,4310
515,15,"43312712433671","408ffe0e-92f1-4d65-a32b-a692645e07db",5468,2949
516,15,"43312707452672","b7de4c0b-4600-444f-bddf-b5a1be4133f7",3524,2095
517,16,"43312706432174","80900031-9adb-4e8d-a5a0-8703cd4e4a1a",5986,3506
518,15,"43312735443175","367c0b02-9199-4e12-bbb6-8badfcf8c46b",6491,5024
519,15,"43312735423176","86cada1c-be1f-4e59-aff8-66974e0ec2fe",25556,7264
520,15,"43312706423563","b102d476-7b52-47be-93a2-9a57de16629b",12409,7362
521,15,"43312712413564","1f251a9c-c303-4aeb-afc4-5bbc3336d436",5318,2870
522,17,"43312723433501","4496df7e-4c21-4eb4-b22d-a2811c9254fc",6152,2955
523,15,"43312723433502","3f150d33-4175-463e-8f38-9d889c0a9d2f",8434,5875
56,15,"43312723422554","a124e954-9a8a-4679-958d-423bf6961656",5611,3154
57,15,"43312723431661","2792f365-0fe7-4ebb-beaf-d8be8742dcd0",5301,2529
58,15,"43312706431662","dff716a6-8625-4e42-910e-933d9fc9320d",7900,5075
59,15,"43312736441106","b2a1133b-fd74-4703-9397-6aadb3f5c44f",10796,5480
60,15,"43312737431107","e4a5abc3-8ae2-49df-b0d7-cb595b6c2c7a",9937,6438
61,15,"43312731451108","00cde427-513d-4e8d-b216-7a20c156d5b0",4069,2546
62,15,"43312736451109","b8ef8bc8-658f-4c13-b2a4-4acdf33f2886",6347,4787
63,16,"43312731443110","4a314694-8e23-4c68-af57-cf042f80b528",7032,3767
64,16,"43312731443111","f62512da-e1b6-4f25-9725-b4a059716db1",9794,5411
65,15,"43312708452112","e92ec7b7-ee79-4207-b821-f70ae1edaf38",8261,3622
66,15,"43312731452114","0f74cd7f-d4aa-47cf-a462-fc6bacaee8fe",2772,1385
67,15,"43312731452115","9cd5b418-f67b-4cf1-90ee-6af5742fd816",8357,4731
68,15,"43312731452116","992fd4ad-9c32-4b9b-a703-4243bba6da4b",6043,3922
69,15,"43312737452117","318ba6f2-babb-463e-a749-6142b08f7d6e",5737,3706
70,15,"43312737452118","928c8e90-853c-4cb7-aa8c-5a1d384e24a7",6844,3821
71,16,"43312706443119","aee08c06-09e3-4f0b-81b1-44828f251101",6816,5129
72,15,"43312731441121","1adba87e-5a2b-4c6d-847e-d17459ac8235",5543,4404
73,15,"43312736451122","57c38074-93b2-47e3-882e-678395023a94",11541,7088
74,15,"43312731441123","b715301e-d380-41d5-8cfe-083d812eff64",8177,5158
75,16,"43312706442124","a0d8dccc-ced5-4217-af70-75ce52f382ec",9680,7067
76,15,"43312707452125","5392605c-86c8-4f3a-986f-66a98e8f5564",5056,3295
77,15,"43312706442126","8a432d73-4e18-404f-adb5-83435e9c351e",7666,3715
78,15,"43312706453127","f364ef1e-0901-4927-b9d7-c8d8c34eb1f3",10990,5417
79,15,"43312706452128","79ecb523-b051-41f6-9d48-d3a167b924a0",5271,2824
80,15,"43312706452129","3297bb32-7a6a-4390-889a-bcbc4a8aa0f7",7303,4624
81,15,"43312731431130","0e48656a-017e-4e02-be36-2afe3669bdf8",9006,5032
82,15,"43312731431131","59472573-2a40-442e-afb1-067ec279940b",8813,6423
83,15,"43312731432132","2c3b823c-b178-46a4-8ee5-58e2fcab2ed9",4060,2812
84,15,"43312731451133","187ccfad-3f6c-46aa-8e9b-9632954e4467",6034,2972
85,17,"43312731442134","4f96e191-326d-499e-9722-0cb00a5e8a6c",7994,4205
86,16,"43312731442135","48e9dd46-628e-4f48-885b-187142dbadf6",7582,3899
87,15,"43312731431136","05d590a2-94e0-4f13-8ff2-689b80f083ac",4991,2819
88,16,"43312731441137","640f06cb-2243-4794-88a5-9a0de3dda246",6949,4226
89,17,"43312731442138","e07e0860-6873-4e9c-9d3f-dce300a179c7",7041,4043
90,17,"43312737443139","a5758549-eabf-40cd-b5a3-5094ed7ae94a",5677,4862
91,16,"43312736443140","38fcc1a8-bec1-4dea-a846-8615c225ef80",8349,4375
92,15,"43312731443604","aec3479c-f58b-41be-9ec2-4422886bbb56",12075,4787
93,15,"43312731453605","bda4aac2-9d35-4866-9ce4-e3c441660250",5208,2477
94,15,"43312736441606","0432a982-d1f7-4b29-bed5-568c991a7936",8841,4213
95,15,"43312736441607","41cc04bf-ea52-4572-874d-e47e2624fbca",6993,3684
96,15,"43312737441608","7a8d331c-978c-4007-b312-f3cbd33812c9",7947,3698
97,15,"43312736451609","1981f03b-4e5e-4613-b463-c0022315f3f2",7197,3441
98,15,"43312736451610","e6844a66-9a89-4038-94cd-39aebb7d20cf",7039,3848
99,15,"43312706453611","0871c098-0cf4-4f3f-870c-ca1f37e64c5f",6521,4657
100,15,"43312736441612","6d1384be-5a0e-45fb-82b2-715e732cc10c",11004,7943
101,15,"43312737443613","c35ec839-5d15-4691-8fdb-99b62d79c77e",10393,5924
102,15,"43312737432614","26bceec4-97f2-4354-a8d8-d6a0de94133c",9154,4839
103,15,"43312737452615","0d037827-c07b-42e9-922a-81896d52104c",2657,1754
104,15,"43312737442616","617c6ea3-33b5-480d-9fd1-ba3f13cc2a26",5830,3983
105,15,"43312737453617","f12d5b83-788b-4900-b456-cddffca7a7e9",4321,2400
